date,price,index_name,ticker,source
2014-01-02,6240.2099609375,BSE 100,BSE-100.BO,"Yahoo Finance (Price Index, NOT TRI)"
2014-01-03,6238.10986328125,BSE 100,BSE-100.BO,"Yahoo Finance (Price Index, NOT TRI)"
2014-01-06,6223.0,BSE 100,BSE-100.BO,"Yahoo Finance (Price Index, NOT TRI)"
2014-01-07,6187.56005859375,BSE 100,BSE-100.BO,"Yahoo Finance (Price Index, NOT TRI)"
2014-01-08,6200.66015625,BSE 100,BSE-100.BO,"Yahoo Finance (Price Index, NOT TRI)"
2014-01-09,6187.2001953125,BSE 100,BSE-100.BO,"Yahoo Finance (Price Index, NOT TRI)"
2014-01-10,6187.990234375,BSE 100,BSE-100.BO,"Yahoo Finance (Price Index, NOT TRI)"
2014-01-13,6275.43017578125,BSE 100,BSE-100.BO,"Yahoo Finance (Price Index, NOT TRI)"
2014-01-14,6248.58984375,BSE 100,BSE-100.BO,"Yahoo Finance (Price Index, NOT TRI)"
2014-01-15,6315.39990234375,BSE 100,BSE-100.BO,"Yahoo Finance (Price Index, NOT TRI)"
2014-01-16,6307.259765625,BSE 100,BSE-100.BO,"Yahoo Finance (Price Index, NOT TRI)"
2014-01-17,6248.2998046875,BSE 100,BSE-100.BO,"Yahoo Finance (Price Index, NOT TRI)"
2014-01-20,6293.6201171875,BSE 100,BSE-100.BO,"Yahoo Finance (Price Index, NOT TRI)"
2014-01-21,6302.43017578125,BSE 100,BSE-100.BO,"Yahoo Finance (Price Index, NOT TRI)"
2014-01-22,6324.990234375,BSE 100,BSE-100.BO,"Yahoo Finance (Price Index, NOT TRI)"
2014-01-23,6327.02001953125,BSE 100,BSE-100.BO,"Yahoo Finance (Price Index, NOT TRI)"
2014-01-24,6244.009765625,BSE 100,BSE-100.BO,"Yahoo Finance (Price Index, NOT TRI)"
2014-01-27,6104.4599609375,BSE 100,BSE-100.BO,"Yahoo Finance (Price Index, NOT TRI)"
2014-01-28,6097.830078125,BSE 100,BSE-100.BO,"Yahoo Finance (Price Index, NOT TRI)"
2014-01-29,6095.83984375,BSE 100,BSE-100.BO,"Yahoo Finance (Price Index, NOT TRI)"
2014-01-30,6037.5,BSE 100,BSE-100.BO,"Yahoo Finance (Price Index, NOT TRI)"
2014-01-31,6071.02001953125,BSE 100,BSE-100.BO,"Yahoo Finance (Price Index, NOT TRI)"
2014-02-03,5987.35986328125,BSE 100,BSE-100.BO,"Yahoo Finance (Price Index, NOT TRI)"
2014-02-04,5991.7998046875,BSE 100,BSE-100.BO,"Yahoo Finance (Price Index, NOT TRI)"
2014-02-05,6010.419921875,BSE 100,BSE-100.BO,"Yahoo Finance (Price Index, NOT TRI)"
2014-02-06,6026.06982421875,BSE 100,BSE-100.BO,"Yahoo Finance (Price Index, NOT TRI)"
2014-02-07,6051.6298828125,BSE 100,BSE-100.BO,"Yahoo Finance (Price Index, NOT TRI)"
2014-02-10,6038.52978515625,BSE 100,BSE-100.BO,"Yahoo Finance (Price Index, NOT TRI)"
2014-02-11,6047.47021484375,BSE 100,BSE-100.BO,"Yahoo Finance (Price Index, NOT TRI)"
2014-02-12,6062.2001953125,BSE 100,BSE-100.BO,"Yahoo Finance (Price Index, NOT TRI)"
2014-02-13,5979.97021484375,BSE 100,BSE-100.BO,"Yahoo Finance (Price Index, NOT TRI)"
2014-02-14,6021.35986328125,BSE 100,BSE-100.BO,"Yahoo Finance (Price Index, NOT TRI)"
2014-02-18,6096.97998046875,BSE 100,BSE-100.BO,"Yahoo Finance (Price Index, NOT TRI)"
2014-02-19,6120.83984375,BSE 100,BSE-100.BO,"Yahoo Finance (Price Index, NOT TRI)"
2014-02-20,6070.52978515625,BSE 100,BSE-100.BO,"Yahoo Finance (Price Index, NOT TRI)"
2014-02-21,6125.66015625,BSE 100,BSE-100.BO,"Yahoo Finance (Price Index, NOT TRI)"
2014-02-24,6152.31005859375,BSE 100,BSE-100.BO,"Yahoo Finance (Price Index, NOT TRI)"
2014-02-25,6165.72021484375,BSE 100,BSE-100.BO,"Yahoo Finance (Price Index, NOT TRI)"
2014-02-26,6195.89013671875,BSE 100,BSE-100.BO,"Yahoo Finance (Price Index, NOT TRI)"
2014-02-28,6235.990234375,BSE 100,BSE-100.BO,"Yahoo Finance (Price Index, NOT TRI)"
2014-03-03,6187.5498046875,BSE 100,BSE-100.BO,"Yahoo Finance (Price Index, NOT TRI)"
2014-03-04,6267.22998046875,BSE 100,BSE-100.BO,"Yahoo Finance (Price Index, NOT TRI)"
2014-03-05,6295.759765625,BSE 100,BSE-100.BO,"Yahoo Finance (Price Index, NOT TRI)"
2014-03-06,6375.85986328125,BSE 100,BSE-100.BO,"Yahoo Finance (Price Index, NOT TRI)"
2014-03-07,6490.6201171875,BSE 100,BSE-100.BO,"Yahoo Finance (Price Index, NOT TRI)"
